,Name,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Big chances missed,Freekicks scored,Goals per match,Penalties scored,Shooting accuracy %,Shots,Shots on target
204,Marc Guéhi,7,0,1,2,2,11,10,50%,0,1,3,22,7,0,34,26,13,1,12,9,0,0,0,471,67.29,0,1,0%,0,22,0,0,1,0,0,0,0,0,,,,,,,
205,Matt Miazga,2,0,1,1,1,1,3,100%,0,0,2,9,4,0,5,11,10,0,7,8,0,1,0,90,45.00,0,0,0%,0,3,1,0,1,1,0,0,0,0,,,,,,,
206,Marçal,20,0,9,9,3,15,36,53%,0,2,22,33,21,0,74,71,66,8,19,15,0,0,0,598,29.90,0,44,16%,0,27,4,0,24,0,0,0,0,0,,,,,,,
207,Thiago Silva,28,3,14,9,12,22,27,56%,0,4,42,103,52,2,161,105,58,4,57,30,0,1,0,"2,204",78.71,0,3,0%,0,135,4,1,15,0,3,0,0,0,,,,,,,
208,Xavi Quintillá,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
209,Tobi Omole,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
210,Henrik Dalsgaard,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
211,CJ Egan-Riley,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
212,Billy Koumetio,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
213,Zanka,65,3,12,37,13,99,106,64%,0,4,148,329,148,1,325,258,273,6,124,138,0,1,3,"2,777",42.72,2,4,25%,2,177,13,0,82,2,1,1,1,0,,,,,,,
214,Fikayo Tomori,17,1,9,5,4,21,32,53%,1,1,24,53,26,0,102,81,49,9,34,29,0,0,0,"1,193",70.18,0,4,25%,3,43,3,0,8,1,0,1,0,0,,,,,,,
215,Séamus Coleman,303,20,126,87,83,298,523,77%,8,53,315,574,302,1,"1,401","1,402","1,229",386,205,233,4,3,24,"9,599",31.68,38,781,21%,12,377,30,2,207,30,7,8,6,7,,,,,,,
216,Leo Fuhr Hjelde,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
217,Jamaal Lascelles,130,8,36,59,31,161,105,54%,6,7,139,736,410,5,619,564,321,17,393,199,0,4,1,"4,364",33.57,2,8,0%,2,281,20,1,86,3,8,0,0,1,,,,,,,
218,Mason Barrett,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
219,Yan Valery,37,2,12,17,3,53,67,69%,0,2,37,91,33,0,128,184,219,38,64,74,0,3,1,666,18.00,2,70,16%,1,21,4,1,35,5,0,1,1,0,,,,,,,
220,Joël Veltman,33,1,8,12,9,30,82,52%,0,3,39,67,29,0,162,199,144,23,49,42,0,0,2,"1,426",43.21,3,77,29%,2,79,6,0,43,0,0,0,1,0,,,,,,,
221,Romaric Yapi,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
222,Kane O'Connor,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
223,Victor Lindelöf,115,3,58,22,33,120,111,59%,1,5,96,408,201,0,620,425,268,18,259,158,2,2,3,"6,417",55.80,6,5,0%,5,243,8,0,76,1,1,1,1,0,,,,,,,
224,Willy Boly,79,5,31,27,25,85,175,60%,1,10,143,358,219,0,418,508,259,26,280,119,0,0,2,"3,735",47.28,6,2,0%,2,163,5,2,68,4,3,1,0,1,,,,,,,
225,Andreas Christensen,79,0,40,20,23,80,87,52%,1,4,103,255,136,1,416,330,190,19,194,125,0,2,0,"4,621",58.49,2,0,0%,4,189,9,1,47,1,0,0,0,2,,,,,,,
226,Joseph Anderson,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
