,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
12,Mohamed Elneny,70,1,43,17,0.01,0,1,0,0,0,52,8,15%,1,2,3,"3,488",49.83,2,32,13%,4,116,10,1,34,2,72,51%,23,60,61,22,300,144,168,15,26,57,0
13,Milot Rashica,7,0,0,6,0.00,0,0,0,0,0,5,2,40%,0,0,0,85,12.14,0,38,16%,0,5,0,0,4,3,4,25%,1,4,2,1,19,15,29,2,3,9,0
14,Jesse Lingard,152,29,79,35,0.19,2,22,5,2,0,222,93,42%,6,20,14,"4,198",27.62,21,162,15%,31,75,18,0,161,27,142,67%,65,56,34,4,402,413,607,115,19,105,0
15,Phil Foden,72,16,57,9,0.22,1,5,10,0,0,96,44,46%,3,9,8,"1,592",22.11,9,127,22%,11,30,0,0,31,10,45,64%,23,22,14,6,134,204,202,75,28,62,0
16,Pablo Fornals,76,9,31,29,0.12,0,6,3,0,0,97,31,32%,4,10,10,"2,198",28.92,9,118,16%,8,79,7,0,51,14,103,55%,30,66,16,7,353,231,378,47,38,95,0
17,Giovani Lo Celso,50,1,23,13,0.02,0,0,1,0,0,38,10,26%,0,3,3,"1,589",31.78,4,94,18%,9,63,11,0,47,0,83,64%,9,16,22,9,189,213,238,42,22,40,0
18,Tariqe Fosu-Henry,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
19,Nikola Vlasic,15,0,4,6,0.00,0,0,0,0,0,6,1,17%,0,0,0,235,15.67,2,10,20%,2,2,0,0,9,2,12,50%,2,9,10,5,46,42,55,15,7,15,0
20,Adrián Bernabé,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
21,Wilfred Ndidi,152,7,67,54,0.05,1,4,2,0,0,171,25,15%,5,4,9,"7,799",51.31,6,33,3%,17,335,27,2,250,5,591,62%,46,325,355,183,"1,291","1,277","1,053",124,463,377,1
22,Alfie Devine,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
23,Bruno Jordão,1,0,0,1,0.00,0,0,0,0,0,0,0,0%,0,0,0,6,6.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,0,0,0,0,0,0
24,Alfie McCalmont,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
25,Lewis Baker,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
26,Adam Forshaw,35,0,6,16,0.00,0,0,0,0,0,28,6,21%,0,2,1,"1,355",38.71,3,51,20%,8,99,4,0,33,1,62,69%,9,36,23,10,176,133,169,22,17,41,0
27,Emiliano Marcondes,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
28,Morgan Sanson,9,0,2,4,0.00,0,0,0,0,0,2,0,0%,0,0,0,138,15.33,0,16,6%,0,6,3,0,6,2,7,57%,0,4,1,1,19,24,18,4,5,3,0
29,Marc Albrighton,290,19,108,103,0.07,2,15,2,0,1,242,81,33%,6,14,42,"6,382",22.01,68,"1,727",20%,34,405,35,1,178,21,462,74%,82,279,189,55,"1,380","1,072","1,270",325,81,221,0
30,Kwadwo Baah,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
31,Jorginho,103,13,57,23,0.13,0,13,0,11,0,45,20,44%,0,2,3,"7,491",72.73,15,15,33%,54,317,20,0,100,0,213,53%,9,176,88,37,724,398,447,48,47,81,1
32,Christian Atsu,80,3,25,32,0.04,0,0,3,0,0,72,28,39%,0,4,6,"1,096",13.70,12,117,19%,8,24,5,0,34,14,52,77%,17,26,41,17,245,217,380,73,32,142,0
33,Ben Cottrell,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
34,Ethan Fitzhugh,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
35,Kaoru Mitoma,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
