,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Accurate long balls,Aerial battles lost,Aerial battles won,Cross accuracy %,Duels lost,Duels won,Errors leading to goal,Recoveries,Successful 50/50s,Tackle success %,Through balls
29,Chris Wood,144,48,44,64,0.33,16,22,9,3,0,254,123,48%,9,55,7,"2,305",16.01,10,32,5,0,127,151,43,40,8,83,60,,,,,,,,,,,
30,Shola Shoretire,2,0,2,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,6,3.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
31,Richarlison,147,39,58,57,0.27,9,17,12,1,0,358,116,32%,8,36,12,"3,195",21.73,27,196,23,2,152,80,240,101,66,149,107,,,,,,,,,,,
32,Ian Poveda-Ocampo,14,0,4,6,0.00,0,0,0,0,0,5,3,60%,0,0,0,111,7.93,3,9,0,0,5,2,5,2,1,2,0,,,,,,,,,,,
33,Lucas Moura,109,17,56,37,0.16,3,10,4,0,0,133,46,35%,2,18,9,"2,355",21.61,10,71,9,0,90,23,136,35,62,70,53,,,,,,,,,,,
34,Jamie Vardy,252,124,105,90,0.49,13,80,31,26,0,557,269,48%,19,99,39,"3,456",13.71,59,283,22,3,205,235,141,99,63,124,83,,,,,,,,,,,
35,Danny Ings,147,57,46,62,0.39,8,34,14,8,0,328,135,41%,11,31,15,"2,498",16.99,17,118,13,0,110,65,135,78,42,66,38,,,,,,,,,,,
36,Son Heung-Min,203,73,115,49,0.36,4,42,27,1,1,435,190,44%,16,39,40,"4,916",24.22,45,408,4,2,82,115,142,115,71,46,20,,,,,,,,,,,
37,Adam Armstrong,22,1,1,16,0.05,0,1,0,0,0,29,9,31%,0,2,1,172,7.82,2,17,1,0,12,1,11,8,1,2,1,,,,,,,,,,,
38,Keinan Davis,33,1,6,16,0.03,0,0,1,0,0,26,7,27%,1,3,1,209,6.33,1,6,0,0,16,3,3,5,0,5,4,,,,,,,,,,,
39,Isaac Success,54,2,17,27,0.04,1,1,0,0,0,44,18,41%,0,7,2,497,9.20,4,28,7,0,38,13,31,12,10,20,15,,,,,,,,,,,
40,Daniel N'Lundulu,13,0,3,7,0.00,0,0,0,0,0,1,0,0%,0,0,0,29,2.23,0,0,0,0,6,1,0,0,0,2,1,,,,,,,,,,,
41,Ademola Lookman,74,5,21,28,0.07,0,4,1,0,0,106,34,32%,4,8,7,"1,531",20.69,13,158,5,0,66,16,59,36,31,15,6,,,,,,,,,,,
42,Philip Zinckernagel,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
43,Jarrod Bowen,65,10,26,26,0.15,0,2,6,0,0,97,30,31%,2,13,10,"1,038",15.97,15,217,0,0,25,21,58,38,44,10,3,,,,,,,,,,,
44,Neal Maupay,77,22,21,29,0.29,3,13,6,5,0,182,69,38%,1,21,5,"1,463",19.00,9,26,6,1,69,29,46,55,18,14,5,,,,,,,,,,,
45,Pedro Neto,60,8,23,19,0.13,0,2,6,0,0,78,27,35%,1,7,9,"1,368",22.80,14,253,7,0,38,8,25,24,37,8,5,,,,,,,,,,,
46,Salomón Rondón,144,35,40,62,0.24,12,12,9,0,1,337,105,31%,11,31,14,"2,978",20.68,13,90,8,1,148,106,52,87,41,144,99,,,,,,,,,,,
47,Moise Kean,32,2,9,13,0.06,0,2,0,0,0,31,13,42%,0,4,2,132,4.13,5,14,1,0,28,4,6,5,5,1,1,,,,,,,,,,,
48,Anthony Elanga,2,1,1,1,0.50,1,0,0,0,0,2,1,50%,0,0,0,53,26.50,0,2,0,0,2,1,4,0,1,1,0,,,,,,,,,,,
49,Indiana Vassilev,4,0,1,2,0.00,0,0,0,0,0,1,0,0%,0,0,0,11,2.75,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,
50,Samuel Edozie,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
51,Stipe Perica,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
